objectid,nuts318cd,nuts318nm,GDHI_2010,GDHI_2011,GDHI_2012,GDHI_2013,GDHI_2014,GDHI_2015,GDHI_2016,GDHI_2017,GDHI_2018,Growth_2010,Growth_2011,Growth_2012,Growth_2013,Growth_2014,Growth_2015,Growth_2016,Growth_2017,Growth_2018
80,UKI31,Camden and City of London,8214,8122,8888,9912,10447,11381,11794,11762,12843,-3.2,-1.1,9.4,11.5,5.4,8.9,3.6,-0.3,9.2
81,UKI32,Westminster,8789,8741,9588,10671,11460,12674,12906,13190,14004,-2.1,-0.5,9.7,11.3,7.4,10.6,1.8,2.2,6.2
82,UKI33,Kensington & Chelsea and Hammersmith & Fulham,15313,14893,16139,18000,19334,20237,19768,19924,21620,-3,-2.7,8.4,11.5,7.4,4.7,-2.3,0.8,8.5
83,UKI34,Wandsworth,8965,8720,9354,10329,11153,11733,12051,12191,12920,-2.1,-2.7,7.3,10.4,8,5.2,2.7,1.2,6
84,UKI41,Hackney and Newham,8256,8554,9214,9947,10553,11542,12222,12568,13339,5.2,3.6,7.7,8,6.1,9.4,5.9,2.8,6.1
85,UKI42,Tower Hamlets,5104,5227,5601,5959,6345,6934,7367,7559,8244,5.1,2.4,7.1,6.4,6.5,9.3,6.2,2.6,9.1
86,UKI43,Haringey and Islington,11053,11352,12207,12590,13352,14379,14361,14625,15545,3.9,2.7,7.5,3.1,6.1,7.7,-0.1,1.8,6.3
87,UKI44,Lewisham and Southwark,10419,10566,11338,12018,12829,13874,14314,14732,15548,6.2,1.4,7.3,6,6.7,8.1,3.2,2.9,5.5
88,UKI45,Lambeth,5886,6048,6510,6864,7295,8295,8750,8850,9452,5.2,2.7,7.6,5.4,6.3,13.7,5.5,1.1,6.8
89,UKI51,Bexley and Greenwich,8866,9017,9536,9898,10410,11038,11602,11902,12567,3.3,1.7,5.8,3.8,5.2,6,5.1,2.6,5.6
90,UKI52,Barking & Dagenham and Havering,6923,7086,7580,7881,8154,8700,9061,9205,9712,3.1,2.3,7,4,3.5,6.7,4.1,1.6,5.5
91,UKI53,Redbridge and Waltham Forest,9123,9350,10086,10527,11013,12020,12408,12874,13607,3.9,2.5,7.9,4.4,4.6,9.1,3.2,3.8,5.7
92,UKI54,Enfield,5418,5539,5963,6193,6507,7033,7260,7304,7557,3,2.2,7.7,3.9,5.1,8.1,3.2,0.6,3.5
93,UKI61,Bromley,6871,7080,7585,7883,8320,8921,9157,9302,9771,2.7,3,7.1,3.9,5.5,7.2,2.6,1.6,5
94,UKI62,Croydon,6379,6593,7053,7391,7598,8150,8383,8588,9155,2.8,3.4,7,4.8,2.8,7.3,2.9,2.4,6.6
95,UKI63,"Merton, Kingston upon Thames and Sutton",11979,12247,13099,13804,14246,15208,15591,15486,16410,3.2,2.2,7,5.4,3.2,6.8,2.5,-0.7,6
96,UKI71,Barnet,7572,7782,8468,8912,9558,10629,11044,11320,12088,4.3,2.8,8.8,5.2,7.3,11.2,3.9,2.5,6.8
97,UKI72,Brent,5635,5809,6287,6724,7123,7654,7776,7863,8304,3.8,3.1,8.2,6.9,5.9,7.5,1.6,1.1,5.6
98,UKI73,Ealing,6764,6891,7420,7957,8403,9055,9195,9296,9653,4.4,1.9,7.7,7.2,5.6,7.8,1.6,1.1,3.8
99,UKI74,Harrow and Hillingdon,9731,9967,10737,11381,11842,12752,13098,13452,14119,3.7,2.4,7.7,6,4,7.7,2.7,2.7,5
100,UKI75,Hounslow and Richmond upon Thames,10940,11160,11901,12575,13191,14197,14361,14425,15105,3.5,2,6.6,5.7,4.9,7.6,1.2,0.4,4.7
101,UKJ11,Berkshire,16840,17295,18113,19015,19614,20836,21422,21891,22846,0.8,2.7,4.7,5,3.1,6.2,2.8,2.2,4.4
102,UKJ12,Milton Keynes,4189,4294,4429,4593,4792,5153,5321,5552,5833,4.5,2.5,3.1,3.7,4.3,7.5,3.3,4.3,5.1
103,UKJ13,Buckinghamshire CC,11460,11646,12101,12570,13184,14131,14613,15143,16244,0.4,1.6,3.9,3.9,4.9,7.2,3.4,3.6,7.3
104,UKJ14,Oxfordshire,12469,12804,13507,14055,14700,15820,15943,16415,17237,-0.1,2.7,5.5,4.1,4.6,7.6,0.8,3,5
105,UKJ21,Brighton and Hove,4800,4925,5091,5312,5490,5875,6002,6259,6516,0.8,2.6,3.4,4.4,3.4,7,2.2,4.3,4.1
106,UKJ22,East Sussex CC,9668,9707,10050,10597,10861,11438,11844,12179,12689,4.1,0.4,3.5,5.4,2.5,5.3,3.5,2.8,4.2
107,UKJ25,West Surrey,17724,18162,19166,20272,21019,22389,22565,23072,24214,1.5,2.5,5.5,5.8,3.7,6.5,0.8,2.2,4.9
108,UKJ26,East Surrey,8789,9039,9544,10006,10336,11056,11188,11462,12061,1.5,2.9,5.6,4.8,3.3,7,1.2,2.5,5.2
109,UKJ27,West Sussex (South West),7653,7896,8270,8686,8908,9526,9737,10067,10578,2.5,3.2,4.7,5,2.6,6.9,2.2,3.4,5.1
110,UKJ28,West Sussex (North East),7521,7694,8030,8406,8652,9070,9355,9688,10032,2.1,2.3,4.4,4.7,2.9,4.8,3.2,3.5,3.6
111,UKJ31,Portsmouth,2680,2734,2774,2891,2981,3213,3311,3389,3506,2.2,2,1.5,4.2,3.1,7.8,3.1,2.4,3.4
112,UKJ32,Southampton,3152,3233,3340,3450,3562,3737,3914,4071,4296,1.7,2.6,3.3,3.3,3.2,4.9,4.7,4,5.5
113,UKJ34,Isle of Wight,2207,2239,2273,2313,2342,2414,2439,2517,2599,2.2,1.4,1.6,1.8,1.3,3,1.1,3.2,3.3
114,UKJ35,South Hampshire,7446,7624,8067,8439,8667,9035,9063,9422,9698,1.5,2.4,5.8,4.6,2.7,4.2,0.3,4,2.9
115,UKJ36,Central Hampshire,10785,11068,11634,11919,12307,13139,13454,13846,14463,1.1,2.6,5.1,2.5,3.3,6.8,2.4,2.9,4.5
116,UKJ37,North Hampshire,6841,6985,7371,7711,7934,8466,8505,8762,9313,1.1,2.1,5.5,4.6,2.9,6.7,0.5,3,6.3
117,UKJ41,Medway,4132,4225,4364,4478,4632,4894,5024,5119,5247,1.6,2.2,3.3,2.6,3.4,5.7,2.6,1.9,2.5
118,UKJ43,Kent Thames Gateway,5347,5471,5700,5943,6181,6520,6802,7155,7510,2.1,2.3,4.2,4.3,4,5.5,4.3,5.2,5
